"表章項目 コード","表章項目 補助コード","表章項目","時間軸(年次) コード","時間軸(年次) 補助コード","時間軸(年次)","地方入国管理局・支局・出張所 コード","地方入国管理局・支局・出張所 補助コード","地方入国管理局・支局・出張所","/在留資格審査の受理・処理","受理_総数","受理_旧受","受理_新受","既済_総数","既済_許可","既済_不許可","既済_その他","未済","受理_総数","受理_旧受","受理_新受","既済_総数","既済_許可","既済_不許可","既済_その他","未済","受理_総数","受理_旧受","受理_新受","既済_総数","既済_許可","既済_不許可","既済_その他","未済","受理_総数","受理_旧受","受理_新受","既済_総数","既済_許可","既済_不許可","既済_その他","未済","受理_総数","受理_旧受","受理_新受","既済_総数","既済_許可","既済_不許可","既済_その他","未済","受理_総数","受理_旧受","受理_新受","既済_総数","既済_許可","既済_不許可","既済_その他","未済"
"160","","在留資格取得等処理人員【人】","2024000000","","2024年","50600","","福山出張所","","92","0","92","89","87","0","2","***","6,669","450","6,219","6,246","6,208","0","38","***","2,973","285","2,688","2,718","2,651","9","58","***","1,288","1","1,287","1,285","1,284","0","1","***","101","0","101","101","101","0","0","***","207","29","178","172","116","51","5","***"
"160","","在留資格取得等処理人員【人】","2024000000","","2024年","50610","","広島空港出張所","","1","0","1","1","1","0","0","***","4","0","4","4","4","0","0","***","2","0","2","2","2","0","0","***","729","0","729","729","729","0","0","***","6","0","6","6","6","0","0","***","0","0","0","0","0","0","0","***"
"160","","在留資格取得等処理人員【人】","2024000000","","2024年","50620","","下関出張所","","18","0","18","18","18","0","0","***","1,489","57","1,432","1,433","1,418","3","12","***","623","76","547","568","556","3","9","***","428","0","428","428","428","0","0","***","56","0","56","56","56","0","0","***","70","10","60","63","55","7","1","***"
"160","","在留資格取得等処理人員【人】","2024000000","","2024年","50630","","周南出張所","","33","0","33","33","30","0","3","***","1,431","53","1,378","1,338","1,318","1","19","***","504","78","426","455","436","2","17","***","394","1","393","394","393","0","1","***","44","0","44","44","44","0","0","***","74","11","63","52","42","9","1","***"
"160","","在留資格取得等処理人員【人】","2024000000","","2024年","50640","","高松出入国在留管理局管内","","185","1","184","179","157","0","22","***","21,294","1,014","20,280","19,882","19,677","4","201","***","12,652","1,557","11,095","11,251","10,996","35","220","***","1,821","2","1,819","1,816","1,809","2","5","***","215","1","214","214","213","0","1","***","661","149","512","572","379","181","12","***"
"160","","在留資格取得等処理人員【人】","2024000000","","2024年","50650","","高松出入国在留管理局","","95","0","95","92","78","0","14","***","15,176","666","14,510","14,190","14,076","2","112","***","9,659","1,147","8,512","8,535","8,341","25","169","***","871","1","870","866","863","1","2","***","126","1","125","125","124","0","1","***","354","52","302","316","214","97","5","***"
"160","","在留資格取得等処理人員【人】","2024000000","","2024年","50660","","小松島港出張所","","30","0","30","30","28","0","2","***","1,394","56","1,338","1,340","1,313","0","27","***","598","63","535","538","529","4","5","***","396","1","395","396","394","1","1","***","17","0","17","17","17","0","0","***","93","28","65","77","56","20","1","***"
"160","","在留資格取得等処理人員【人】","2024000000","","2024年","50670","","松山出張所","","50","0","50","47","43","0","4","***","3,231","176","3,055","2,961","2,915","1","45","***","1,710","283","1,427","1,565","1,529","6","30","***","374","0","374","374","373","0","1","***","50","0","50","50","50","0","0","***","168","57","111","147","91","52","4","***"
"160","","在留資格取得等処理人員【人】","2024000000","","2024年","50680","","高知出張所","","10","1","9","10","8","0","2","***","1,493","116","1,377","1,391","1,373","1","17","***","685","64","621","613","597","0","16","***","180","0","180","180","179","0","1","***","22","0","22","22","22","0","0","***","46","12","34","32","18","12","2","***"
"160","","在留資格取得等処理人員【人】","2024000000","","2024年","50690","","福岡出入国在留管理局管内","","1,169","7","1,162","1,156","1,134","0","22","***","91,497","3,466","88,031","85,431","84,549","56","826","***","46,334","5,039","41,295","41,803","40,445","253","1,105","***","37,831","32","37,799","37,768","37,726","9","33","***","1,431","0","1,431","1,431","1,431","0","0","***","3,648","635","3,013","2,265","1,344","791","130","***"
"160","","在留資格取得等処理人員【人】","2024000000","","2024年","50700","","福岡出入国在留管理局","","498","2","496","494","485","0","9","***","54,855","2,108","52,747","50,910","50,449","26","435","***","30,618","3,509","27,109","27,344","26,497","176","671","***","15,250","27","15,223","15,198","15,174","4","20","***","672","0","672","672","672","0","0","***","1,897","300","1,597","1,085","614","426","45","***"
"160","","在留資格取得等処理人員【人】","2024000000","","2024年","50710","","那覇支局","","109","0","109","107","99","0","8","***","7,784","232","7,552","7,401","7,317","9","75","***","2,850","183","2,667","2,576","2,457","41","78","***","3,202","2","3,200","3,197","3,192","4","1","***","107","0","107","107","107","0","0","***","329","59","270","274","186","84","4","***"
